## Verified market data snapshot for NVDA

- Requested analysis date: 2026-08-01
- Latest trading row used: 2026-07-31
- Rows after the requested analysis date are excluded before verification.

### Latest verified OHLCV row

| Field | Value |
|---|---:|
| Open | 198.44 |
| High | 202.00 |
| Low | 194.95 |
| Close | 200.75 |
| Volume | 139659700 |

### Verified technical indicators (latest row)

| Indicator | Value |
|---|---:|
| close_10_ema | 200.15 |
| close_50_sma | 206.12 |
| close_200_sma | 192.93 |
| rsi | 48.31 |
| boll | 203.30 |
| boll_ub | 216.33 |
| boll_lb | 190.27 |
| macd | -1.94 |
| macds | -0.98 |
| macdh | -0.97 |
| atr | 7.47 |

### Recent verified closes (last 30 rows)

| Date | Close |
|---|---:|
| 2026-06-18 | 210.69 |
| 2026-06-22 | 208.65 |
| 2026-06-23 | 200.04 |
| 2026-06-24 | 199.00 |
| 2026-06-25 | 195.74 |
| 2026-06-26 | 192.53 |
| 2026-06-29 | 194.97 |
| 2026-06-30 | 200.09 |
| 2026-07-01 | 197.58 |
| 2026-07-02 | 194.83 |
| 2026-07-06 | 195.55 |
| 2026-07-07 | 196.93 |
| 2026-07-08 | 204.12 |
| 2026-07-09 | 202.78 |
| 2026-07-10 | 210.96 |
| 2026-07-13 | 203.53 |
| 2026-07-14 | 211.80 |
| 2026-07-15 | 212.50 |
| 2026-07-16 | 207.40 |
| 2026-07-17 | 202.81 |
| 2026-07-20 | 203.28 |
| 2026-07-21 | 207.29 |
| 2026-07-22 | 212.06 |
| 2026-07-23 | 208.76 |
| 2026-07-24 | 206.84 |
| 2026-07-27 | 196.51 |
| 2026-07-28 | 197.01 |
| 2026-07-29 | 190.01 |
| 2026-07-30 | 195.04 |
| 2026-07-31 | 200.75 |

Use this snapshot as the source of truth for exact OHLCV, price-level, and indicator-value claims. If another tool output conflicts with it, flag the discrepancy rather than inventing a reconciled number. Do not claim historical validation, support/resistance bounces, or exact percentage moves unless directly supported by tool output with concrete dates and prices.
