# Stock data for NVDA from 2026-05-01 to 2026-08-01
# Total records: 63
# Data retrieved on: 2026-08-04 08:33:50

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-01,201.05,202.76,196.89,198.22,128647000,0.0,0.0
2026-05-04,199.27,201.5,194.51,198.25,125368100,0.0,0.0
2026-05-05,199.07,200.01,195.8,196.27,113406600,0.0,0.0
2026-05-06,199.66,208.03,198.38,207.59,188362800,0.0,0.0
2026-05-07,208.1,213.95,206.26,211.25,168307900,0.0,0.0
2026-05-08,212.78,217.55,212.64,214.95,136421400,0.0,0.0
2026-05-11,213.79,222.04,213.64,219.18,160685800,0.0,0.0
2026-05-12,218.3,223.49,214.67,220.52,159176600,0.0,0.0
2026-05-13,224.67,227.57,221.31,225.57,150405400,0.0,0.0
2026-05-14,229.58,236.26,229.03,235.47,180782900,0.0,0.0
2026-05-15,229.49,231.23,223.98,225.06,180977600,0.0,0.0
2026-05-18,229.6,229.73,218.12,222.06,146280900,0.0,0.0
2026-05-19,219.36,224.22,217.66,220.35,140948200,0.0,0.0
2026-05-20,222.92,225.87,220.24,223.21,184201600,0.0,0.0
2026-05-21,222.03,227.14,217.68,219.25,203381800,0.0,0.0
2026-05-22,220.64,220.75,214.55,215.08,169275700,0.0,0.0
2026-05-26,216.29,217.93,211.75,214.61,187202600,0.0,0.0
2026-05-27,213.87,213.9,208.54,212.35,167601200,0.0,0.0
2026-05-28,211.03,215.27,210.97,214.0,143996000,0.0,0.0
2026-05-29,214.33,217.61,210.88,210.89,289410600,0.0,0.0
2026-06-01,215.48,224.61,215.45,224.1,212850700,0.0,0.0
2026-06-02,226.92,232.01,221.09,222.56,193362900,0.0,0.0
2026-06-03,221.46,222.56,214.26,214.5,160907000,0.0,0.0
2026-06-04,213.91,221.6,210.97,218.66,169022200,0.25,0.0
2026-06-05,214.53,214.87,204.33,205.1,219655500,0.0,0.0
2026-06-08,210.18,210.47,206.0,208.64,138372800,0.0,0.0
2026-06-09,210.62,211.4,199.34,208.19,180962500,0.0,0.0
2026-06-10,204.43,207.22,199.92,200.42,161746600,0.0,0.0
2026-06-11,201.49,205.66,199.54,204.87,158643200,0.0,0.0
2026-06-12,204.86,207.07,203.44,205.19,112001800,0.0,0.0
2026-06-15,208.92,212.71,208.34,212.45,149936700,0.0,0.0
2026-06-16,211.18,211.49,207.29,207.41,125694100,0.0,0.0
2026-06-17,208.53,209.21,203.08,204.65,128363500,0.0,0.0
2026-06-18,207.33,211.39,206.5,210.69,241272000,0.0,0.0
2026-06-22,211.44,213.99,207.72,208.65,122041400,0.0,0.0
2026-06-23,202.17,203.77,200.0,200.04,153496200,0.0,0.0
2026-06-24,200.12,201.67,196.58,199.0,151810700,0.0,0.0
2026-06-25,200.08,200.8,192.13,195.74,149550000,0.0,0.0
2026-06-26,193.12,195.55,191.22,192.53,179304100,0.0,0.0
2026-06-29,193.85,196.18,189.8,194.97,148835700,0.0,0.0
2026-06-30,197.24,200.63,195.11,200.09,166476700,0.0,0.0
2026-07-01,196.2,199.85,193.45,197.58,146147600,0.0,0.0
2026-07-02,197.14,200.06,192.35,194.83,142068700,0.0,0.0
2026-07-06,194.42,197.55,193.99,195.55,108999000,0.0,0.0
2026-07-07,192.37,198.41,191.14,196.93,124154600,0.0,0.0
2026-07-08,195.18,205.16,195.06,204.12,147419100,0.0,0.0
2026-07-09,204.46,204.59,198.96,202.78,132037400,0.0,0.0
2026-07-10,202.0,211.0,201.92,210.96,148421000,0.0,0.0
2026-07-13,208.54,210.57,203.0,203.53,121411000,0.0,0.0
2026-07-14,208.2,212.55,203.8,211.8,124379600,0.0,0.0
2026-07-15,211.96,213.81,206.04,212.5,124797200,0.0,0.0
2026-07-16,210.17,211.08,205.85,207.4,122986100,0.0,0.0
2026-07-17,202.64,206.65,197.97,202.81,144281900,0.0,0.0
2026-07-20,205.87,207.74,202.28,203.28,88701500,0.0,0.0
2026-07-21,207.54,208.65,204.01,207.29,108685600,0.0,0.0
2026-07-22,205.81,214.39,204.95,212.06,137645600,0.0,0.0
2026-07-23,209.46,210.87,205.96,208.76,110505300,0.0,0.0
2026-07-24,207.45,211.91,204.81,206.84,114836800,0.0,0.0
2026-07-27,208.2,208.75,195.44,196.51,154353700,0.0,0.0
2026-07-28,195.0,198.7,192.74,197.01,134111500,0.0,0.0
2026-07-29,195.85,197.07,190.01,190.01,147680800,0.0,0.0
2026-07-30,193.45,197.25,191.52,195.04,129010200,0.0,0.0
2026-07-31,198.44,202.0,194.95,200.75,139659700,0.0,0.0

