# Insider Transactions data for NVDA
# Data retrieved on: 2026-08-04 08:23:25

,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
0,500000,0,,Stock Gift at price 0.00 per share.,COXE TENCH C,Director,,2026-07-01,I
1,1211,0,,Stock Award(Grant) at price 0.00 per share.,HUDSON BEACH DAWN E,Director,,2026-06-25,D
2,1211,0,,Stock Award(Grant) at price 0.00 per share.,STEVENS MARK A,Director,,2026-06-25,D
3,1211,0,,Stock Award(Grant) at price 0.00 per share.,JONES HARVEY C JR.,Director,,2026-06-25,D
4,1211,0,,Stock Award(Grant) at price 0.00 per share.,SEAWELL A BROOKE,Director,,2026-06-25,D
5,1211,0,,Stock Award(Grant) at price 0.00 per share.,COXE TENCH C,Director,,2026-06-25,D
6,1211,0,,Stock Award(Grant) at price 0.00 per share.,LORA MELISSA,Director,,2026-06-25,D
7,1211,0,,Stock Award(Grant) at price 0.00 per share.,SHAH AARTI S,Director,,2026-06-25,D
8,1211,0,,Stock Award(Grant) at price 0.00 per share.,NEAL STEPHEN C.,Director,,2026-06-25,D
9,1211,0,,Stock Award(Grant) at price 0.00 per share.,DABIRI JOHN O,Director,,2026-06-25,D
10,885000,185999938,,Sale at price 209.70 - 210.44 per share.,STEVENS MARK A,Director,,2026-06-18,I
11,400000,0,,Stock Gift at price 0.00 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2026-06-16,I
12,59509,0,,Stock Award(Grant) at price 0.00 per share.,GAWEL SCOTT,Officer,,2026-06-08,D
13,307500,0,,Stock Gift at price 0.00 per share.,STEVENS MARK A,Director,,2026-06-04,I
14,1000000,221102600,,Sale at price 217.66 - 222.38 per share.,STEVENS MARK A,Director,,2026-06-04,I
15,15500,3343863,,Sale at price 215.73 per share.,NEAL STEPHEN C.,Director,,2026-06-03,I
16,625,133750,,Sale at price 214.00 per share.,DABIRI JOHN O,Director,,2026-05-27,D
17,221682,38502524,,Sale at price 172.61 - 174.57 per share.,STEVENS MARK A,Director,,2026-03-20,I
18,62650,10956706,,Sale at price 171.97 - 177.51 per share.,KRESS COLETTE M.,Chief Financial Officer,,2026-03-20,D/I
19,5396,942944,,Sale at price 172.58 - 177.31 per share.,ROBERTSON DONALD F JR,Officer,,2026-03-20,D
20,19000,3357549,,Sale at price 176.27 - 177.73 per share.,SHAH AARTI S,Director,,2026-03-19,D
21,58962602,0,,Stock Gift at price 0.00 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2026-03-18,I
22,300000,54676140,,Sale at price 181.31 - 182.94 per share.,PURI AJAY K,Officer,,2026-03-18,I
23,530,0,,Stock Gift at price 0.00 per share.,SEAWELL A BROOKE,Director,,2026-03-17,D
24,3004,555440,,Sale at price 184.90 per share.,DABIRI JOHN O,Director,,2026-03-13,D
25,300000,54756044,,Sale at price 182.47 - 183.11 per share.,PURI AJAY K,Officer,,2026-03-10,I
26,47048,0,,Stock Award(Grant) at price 0.00 per share.,SHOQUIST DEBORA C,Officer,,2026-03-09,D
27,47048,0,,Stock Award(Grant) at price 0.00 per share.,PURI AJAY K,Officer,,2026-03-09,D
28,47048,0,,Stock Award(Grant) at price 0.00 per share.,KRESS COLETTE M.,Chief Financial Officer,,2026-03-09,D
29,47048,0,,Stock Award(Grant) at price 0.00 per share.,TETER TIMOTHY S,General Counsel,,2026-03-09,D
30,936771,0,,Stock Award(Grant) at price 0.00 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2026-03-02,D
31,98328,0,,Stock Award(Grant) at price 0.00 per share.,SHOQUIST DEBORA C,Officer,,2026-03-02,D
32,103278,0,,Stock Award(Grant) at price 0.00 per share.,PURI AJAY K,Officer,,2026-03-02,D
33,106660,0,,Stock Award(Grant) at price 0.00 per share.,KRESS COLETTE M.,Chief Financial Officer,,2026-03-02,D
34,98328,0,,Stock Award(Grant) at price 0.00 per share.,TETER TIMOTHY S,General Counsel,,2026-03-02,D
35,47640,8371233,,Sale at price 172.40 - 179.16 per share.,KRESS COLETTE M.,Chief Financial Officer,,2026-02-04,D/I
36,200000,36007160,,Sale at price 180.04 per share.,PURI AJAY K,Officer,,2026-01-21,I
37,47640,8809582,,Sale at price 184.15 - 187.73 per share.,KRESS COLETTE M.,Chief Financial Officer,,2026-01-13,D/I
38,200000,37563619,,Sale at price 187.25 - 188.58 per share.,PURI AJAY K,Officer,,2026-01-07,I
39,80000,15187742,,Sale at price 188.85 - 192.49 per share.,ROBERTSON DONALD F JR,Officer,,2026-01-02,D
40,222500,40087380,,Sale at price 180.17 per share.,STEVENS MARK A,Director,,2025-12-19,I
41,24590,4425727,,Sale at price 176.91 - 180.88 per share.,ROBERTSON DONALD F JR,Officer,,2025-12-19,D
42,258650,0,,Stock Gift at price 0.00 per share.,STEVENS MARK A,Director,,2025-12-18,I
43,141488,0,,Stock Gift at price 0.00 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-12-17,I
44,113182,0,,Stock Gift at price 0.00 per share.,KRESS COLETTE M.,Chief Financial Officer,,2025-12-17,D
45,250000,44333450,,Sale at price 177.33 per share.,JONES HARVEY C JR.,Director,,2025-12-15,I
46,50500,8994793,,Sale at price 175.26 - 182.06 per share.,KRESS COLETTE M.,Chief Financial Officer,,2025-12-12,D/I
47,229840,41414515,,Sale at price 175.14 - 185.16 per share.,SHOQUIST DEBORA C,Officer,,2025-12-12,I
48,80000,14771657,,Sale at price 184.25 - 185.55 per share.,SHOQUIST DEBORA C,Officer,,2025-12-09,I
49,350000,63604065,,Sale at price 181.73 per share.,STEVENS MARK A,Director,,2025-12-05,I
50,12728,2341117,,Sale at price 183.93 per share.,SEAWELL A BROOKE,Director,,2025-12-02,I
51,520000,0,,Stock Gift at price 0.00 per share.,SEAWELL A BROOKE,Director,,2025-11-24,I
52,626,112317,,Sale at price 179.42 per share.,DABIRI JOHN O,Director,,2025-11-24,D
53,47640,9924869,,Sale at price 207.03 - 210.86 per share.,KRESS COLETTE M.,Chief Financial Officer,,2025-11-03,D/I
54,25000,5197790,,Sale at price 205.65 - 211.76 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-29,D
55,125000,23558262,,Sale at price 184.24 - 202.64 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-28,D
56,225000,40734400,,Sale at price 177.57 - 183.27 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-23,D
57,47640,8642640,,Sale at price 180.41 - 182.17 per share.,KRESS COLETTE M.,Chief Financial Officer,,2025-10-21,D/I
58,225000,41058402,,Sale at price 180.54 - 184.92 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-20,D
59,225000,41338563,,Sale at price 178.13 - 189.46 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-15,D
60,225000,42885101,,Sale at price 183.39 - 195.32 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-10,D
61,225000,42050639,,Sale at price 184.23 - 189.80 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-07,D
62,225000,42093301,,Sale at price 182.19 - 190.52 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-10-02,D
63,225000,40233721,,Sale at price 173.85 - 183.55 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-09-29,D
64,225000,40206353,,Sale at price 175.48 - 184.33 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-09-24,D
65,350000,61737305,,Sale at price 176.39 per share.,STEVENS MARK A,Director,,2025-09-19,I
66,50500,8908172,,Sale at price 175.99 - 177.56 per share.,KRESS COLETTE M.,Chief Financial Officer,,2025-09-19,D/I
67,40000,7106120,,Sale at price 177.65 per share.,DRELL PERSIS S,Director,,2025-09-19,I
68,225000,39181549,,Sale at price 169.09 - 177.54 per share.,HUANG JEN-HSUN,Chief Executive Officer,,2025-09-19,D
69,3500,617298,,Sale at price 176.11 - 177.14 per share.,ROBERTSON DONALD F JR,Officer,,2025-09-19,D
